Metric, Referring domains, Avg. organic traffic, Organic positions: 1–3, Organic positions: 4–10, Organic positions: 11–20, Organic entities (traffic): Corsair, Organic entities (traffic): Corsair International, Organic entities (traffic): NVIDIA, Organic entities (traffic): Steam, Organic entities (traffic): Corsair Gaming, Organic traffic: Non-branded
Volume, -, Monthly volume, -, -, -, Monthly volume, Monthly volume, Monthly volume, Monthly volume, Monthly volume, Monthly volume
Location, -, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations
2021-06, 10731, 1527469, 52050, 29923, 31815, 815662, 2037, 36, 0, 3356, 67791
2021-07, 10977, 1571535, 53906, 32545, 35940, 807057, 4137, 31, 0, 3675, 80879
2021-08, 11272, 1615090, 56420, 33171, 38822, 835739, 3909, 31, 0, 3910, 79611
2021-09, 11568, 1517889, 63931, 37221, 43846, 753415, 5096, 39, 0, 3092, 82726
2021-10, 13648, 1531253, 74830, 38144, 46995, 764777, 6127, 48, 0, 3087, 87076
2021-11, 12035, 1706475, 77296, 38626, 46291, 868103, 5405, 54, 0, 4341, 91166
2021-12, 10993, 1911775, 83497, 42243, 49217, 933999, 5243, 60, 0, 3038, 103865
2022-01, 11235, 2264154, 91031, 46910, 53218, 1116833, 9685, 49, 0, 4574, 123494
2022-02, 11522, 2029391, 96224, 49669, 52526, 1027324, 6906, 48, 0, 4343, 103462
2022-03, 11498, 1950988, 95508, 49602, 52449, 975254, 5247, 37, 0, 3519, 101569
2022-04, 11332, 1844835, 89046, 46994, 49317, 929829, 5036, 32, 0, 3144, 99856
2022-05, 11484, 1693280, 77335, 40774, 42301, 831877, 1126, 29, 0, 3313, 91280
2022-06, 11491, 1647034, 73982, 37793, 39867, 818154, 3446, 25, 0, 3468, 82110
2022-07, 11719, 1775361, 75154, 37621, 39644, 883724, 3320, 37, 0, 3153, 88243
2022-08, 12022, 1725753, 75925, 40272, 41880, 858758, 3716, 112, 0, 3600, 96872
2022-09, 12061, 1629253, 73774, 43762, 45975, 811492, 4585, 190, 0, 3222, 109609
2022-10, 12080, 1778634, 75712, 46446, 49636, 858767, 5386, 258, 0, 3086, 146653
2022-11, 12679, 2030865, 79871, 45019, 49243, 992698, 4965, 346, 0, 4106, 174811
2022-12, 13119, 2100824, 81348, 47801, 51335, 1025727, 2774, 358, 0, 3891, 152506
2023-01, 12801, 1994825, 81234, 47815, 50510, 980540, 2988, 422, 0, 3524, 155341
2023-02, 12874, 1764597, 78794, 45229, 45289, 865859, 5498, 194, 0, 2582, 148021
2023-03, 13340, 1686827, 77462, 45199, 43342, 822753, 5823, 203, 0, 2656, 141174
2023-04, 13786, 1572869, 67459, 37969, 37238, 774992, 4863, 183, 0, 2262, 119121
2023-05, 14571, 1480779, 62702, 34102, 34211, 725215, 3682, 222, 0, 2352, 96495
2023-06, 14283, 1416256, 60376, 33423, 36055, 712339, 3867, 215, 0, 2407, 79981
2023-07, 14180, 1562083, 57322, 33684, 39883, 785216, 6908, 111, 0, 3538, 90374
2023-08, 14367, 1588741, 61911, 35389, 36193, 776924, 7187, 34, 0, 3529, 101737
2023-09, 14266, 1576663, 62018, 42894, 40363, 745584, 4732, 23, 0, 2646, 104734
2023-10, 13998, 1682688, 58453, 49157, 42494, 755810, 7190, 32, 0, 3820, 105680
2023-11, 14509, 2038271, 57860, 50266, 47055, 946302, 9182, 111, 0, 5168, 134434
2023-12, 14444, 2247950, 58813, 55502, 63955, 1016350, 8517, 123, 0, 4486, 170941
2024-01, 15155, 2157955, 60336, 65319, 75514, 946864, 10182, 161, 0, 4121, 192418
2024-02, 14998, 2069265, 64365, 76781, 94996, 882646, 9046, 168, 0, 3556, 189679
2024-03, 15597, 1965044, 68228, 77719, 96270, 822093, 7616, 393, 0, 3118, 195247
2024-04, 16148, 1887832, 67129, 79234, 98713, 774117, 8156, 660, 0, 3439, 200444
2024-05, 17086, 1995837, 64625, 79801, 98504, 785606, 9240, 892, 0, 3015, 250966
2024-06, 18280, 2001459, 60231, 72675, 83898, 762269, 9478, 1193, 0, 2939, 295863
2024-07, 19907, 2039184, 58482, 70802, 81554, 783698, 9156, 956, 91, 3001, 293747
2024-08, 19883, 2132952, 57736, 75227, 85390, 803658, 11184, 976, 146, 3446, 320224
2024-09, 19243, 2103558, 56325, 78821, 87485, 795455, 10967, 1211, 617, 3149, 323216
2024-10, 19095, 2122649, 57425, 79482, 89423, 802998, 11469, 1434, 1125, 3074, 327456
2024-11, 19202, 2463176, 58635, 83094, 95871, 968956, 9626, 1655, 2348, 4372, 368472
2024-12, 19590, 2720136, 59210, 87403, 100699, 1062886, 11240, 1318, 1939, 4778, 417929
2025-01, 21098, 2636064, 60815, 91598, 107703, 986125, 11881, 1456, 1902, 4381, 462465
2025-02, 22260, 2425753, 63296, 99569, 114569, 873791, 12215, 1174, 2766, 3470, 476251
2025-03, 23655, 2457879, 66372, 106312, 119169, 867369, 12828, 1012, 2973, 3124, 523692
2025-04, 24605, 2401920, 76509, 123606, 131162, 830216, 10143, 880, 2563, 3393, 551987
2025-05, 24158, 2408801, 75878, 122771, 132409, 838069, 9562, 937, 2565, 2932, 547284
2025-06, 23642, 2355912, 76560, 122404, 125113, 812945, 9646, 781, 2895, 2988, 544670
2025-07, 23084, 2359182, 77376, 121718, 121778, 853859, 11557, 695, 2936, 3096, 504995
2025-08, 23415, 2294572, 80035, 122676, 122527, 826907, 11662, 700, 2387, 3287, 495851
2025-09, 23254, 2225045, 86121, 131449, 101018, 781011, 10327, 760, 2341, 2890, 510463
2025-10, 23773, 2250413, 86507, 136512, 39068, 773321, 10848, 887, 2542, 2987, 527825
2025-11, 23926, 2522060, 88955, 143250, 28277, 878054, 13727, 1215, 2775, 3609, 598677
2025-12, 24289, 2750016, 94589, 146843, 28351, 941949, 14077, 1539, 3040, 4688, 668920
2026-01, 23710, 2795460, 95944, 147572, 31756, 934732, 13802, 1778, 3010, 4524, 700013
2026-02, 23119, 2628812, 91945, 144094, 30755, 841763, 12121, 1721, 3818, 3978, 733090
2026-03, 22468, 2535446, 89704, 138051, 27845, 791375, 9425, 1658, 3344, 3236, 741357
2026-04, 19678, 2625850, 80555, 128530, 21289, 778298, 7197, 2275, 3761, 2289, 832996
2026-05, 20394, 2837959, 83763, 146115, 20927, 787402, 9320, 4067, 3292, 3160, 967811
