Metric, Referring domains, Avg. organic traffic, Organic positions: 1–3, Organic positions: 4–10, Organic positions: 11–20, Organic entities (traffic): Kamado Joe, Organic entities (traffic): Direct Stoves, Organic entities (traffic): Mi Fires, Organic entities (traffic): Portway, Organic entities (traffic): Dimplex, Organic traffic: Non-branded
Volume, -, Monthly volume, -, -, -, Monthly volume, Monthly volume, Monthly volume, Monthly volume, Monthly volume, Monthly volume
Location, -, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations, All locations
2017-11, 211, 2709, 122, 467, 517, 0, 475, 0, 0, 1, 1537
2017-12, 200, 3034, 126, 511, 560, 0, 395, 0, 0, 5, 1902
2018-01, 212, 3308, 131, 583, 592, 0, 361, 0, 0, 17, 2225
2018-02, 202, 3363, 153, 631, 612, 0, 305, 0, 0, 7, 2310
2018-03, 203, 4021, 178, 629, 665, 0, 800, 0, 0, 8, 2471
2018-04, 202, 4493, 215, 666, 730, 0, 863, 0, 0, 14, 2871
2018-05, 219, 3819, 215, 666, 655, 0, 454, 0, 0, 6, 2691
2018-06, 206, 3610, 220, 611, 605, 0, 425, 0, 0, 5, 2584
2018-07, 210, 4469, 212, 602, 624, 0, 483, 0, 0, 6, 3362
2018-08, 202, 8269, 298, 752, 762, 0, 393, 0, 0, 8, 6910
2018-09, 211, 11163, 397, 904, 944, 0, 404, 0, 0, 10, 9338
2018-10, 230, 17303, 472, 977, 896, 0, 541, 0, 0, 12, 15173
2018-11, 207, 21028, 542, 1068, 894, 0, 776, 0, 0, 16, 18583
2018-12, 191, 22140, 607, 1150, 1001, 0, 634, 0, 0, 22, 19599
2019-01, 216, 24386, 735, 1262, 1086, 0, 568, 0, 0, 20, 21666
2019-02, 287, 23142, 821, 1370, 1092, 0, 569, 0, 0, 9, 20340
2019-03, 280, 20870, 917, 1406, 1000, 0, 398, 0, 0, 7, 18202
2019-04, 256, 18713, 954, 1512, 956, 0, 424, 0, 0, 5, 16272
2019-05, 232, 16929, 977, 1842, 938, 0, 686, 0, 0, 6, 14345
2019-06, 239, 18363, 1071, 1848, 1009, 0, 605, 0, 0, 6, 15567
2019-07, 236, 20965, 1435, 1868, 1210, 0, 650, 0, 0, 10, 17465
2019-08, 237, 24092, 1521, 2049, 1350, 0, 666, 0, 0, 9, 20348
2019-09, 245, 32492, 1673, 2067, 1374, 0, 591, 0, 0, 15, 27377
2019-10, 269, 32920, 1362, 2168, 1228, 0, 1104, 0, 0, 15, 26795
2019-11, 266, 35036, 1393, 2253, 1259, 0, 1100, 0, 0, 13, 28802
2019-12, 243, 26479, 1368, 2327, 1311, 0, 763, 0, 0, 13, 21432
2020-01, 242, 23482, 1313, 2315, 1336, 0, 638, 0, 0, 14, 19297
2020-02, 245, 24671, 1606, 2211, 1372, 0, 253, 0, 0, 9, 21574
2020-03, 216, 19008, 1684, 2249, 1421, 0, 167, 0, 0, 6, 16475
2020-04, 202, 17977, 1847, 2271, 1389, 0, 251, 0, 0, 5, 15800
2020-05, 205, 24347, 1769, 2158, 1450, 0, 247, 0, 0, 5, 22092
2020-06, 240, 27803, 1844, 2111, 1492, 0, 370, 0, 0, 5, 24921
2020-07, 253, 28822, 1832, 2088, 1467, 0, 315, 0, 0, 6, 25971
2020-08, 260, 32316, 1943, 2115, 1553, 0, 292, 0, 0, 5, 29139
2020-09, 263, 41500, 2026, 2142, 1656, 0, 370, 0, 0, 6, 38088
2020-10, 267, 62077, 2327, 2153, 1692, 0, 812, 0, 0, 5, 57098
2020-11, 272, 65320, 2665, 2278, 1706, 0, 513, 0, 0, 8, 59882
2020-12, 241, 63578, 2966, 2386, 1846, 0, 460, 0, 0, 6, 58819
2021-01, 251, 79399, 2982, 2361, 1988, 0, 623, 0, 0, 5, 74361
2021-02, 249, 76964, 2970, 2470, 2152, 0, 513, 0, 0, 16, 72330
2021-03, 265, 69633, 3232, 2636, 2184, 0, 584, 0, 0, 7, 65207
2021-04, 270, 60558, 3150, 2686, 2177, 0, 420, 0, 0, 4, 56517
2021-05, 260, 57002, 3182, 2735, 2194, 0, 459, 0, 0, 3, 53111
2021-06, 278, 46744, 3490, 2831, 2253, 0, 264, 0, 0, 2, 43567
2021-07, 294, 50438, 3870, 2972, 2765, 0, 258, 0, 0, 2, 46953
2021-08, 240, 60663, 4150, 3135, 2975, 0, 270, 0, 0, 3, 56617
2021-09, 267, 70224, 4691, 3679, 3511, 0, 371, 0, 0, 3, 65184
2021-10, 331, 93723, 4912, 3911, 3864, 0, 490, 0, 0, 8, 87333
2021-11, 359, 95654, 5178, 4095, 3877, 0, 619, 0, 0, 11, 89259
2021-12, 454, 91688, 5698, 4324, 3950, 0, 375, 16, 0, 5, 85788
2022-01, 536, 99626, 6179, 4640, 3990, 0, 523, 19, 0, 3, 93134
2022-02, 444, 93641, 6611, 4789, 4072, 0, 425, 20, 0, 1, 87731
2022-03, 488, 87980, 6173, 5093, 3997, 0, 472, 22, 0, 0, 82416
2022-04, 450, 83481, 5720, 5037, 4040, 0, 268, 24, 0, 0, 78850
2022-05, 518, 76146, 5528, 4928, 3685, 0, 416, 24, 0, 0, 71864
2022-06, 557, 63864, 5181, 4828, 3372, 0, 441, 17, 0, 0, 59853
2022-07, 544, 68049, 5326, 4900, 3361, 0, 545, 38, 0, 0, 63929
2022-08, 533, 92896, 5070, 4671, 3367, 0, 1122, 46, 0, 0, 87461
2022-09, 526, 131857, 5233, 4930, 3751, 0, 2146, 55, 0, 0, 123668
2022-10, 486, 147609, 6017, 5008, 3952, 0, 1071, 72, 0, 1, 138758
2022-11, 523, 145684, 6726, 4535, 3552, 0, 886, 70, 0, 1, 137814
2022-12, 578, 119103, 6045, 4654, 3501, 0, 613, 96, 0, 0, 110831
2023-01, 569, 114657, 5787, 4711, 3348, 0, 389, 121, 0, 0, 106220
2023-02, 569, 93307, 5805, 4501, 3026, 0, 423, 48, 0, 0, 87487
2023-03, 617, 85382, 5841, 4541, 3157, 0, 712, 30, 0, 0, 80288
2023-04, 669, 79753, 4969, 3782, 2957, 0, 509, 37, 0, 0, 75251
2023-05, 730, 69910, 4395, 3271, 2708, 0, 431, 35, 0, 0, 66124
2023-06, 796, 71748, 5856, 4581, 3701, 0, 325, 44, 28, 0, 67320
2023-07, 854, 90917, 7919, 6390, 5333, 0, 511, 52, 71, 1, 84572
